Footnote,Limit_Code
1,wet
2,na
3,na
4,na
5,na
6,na
7,na
8,cold
9,cold
10,heat
11,cold
12,heat
13,heat
14,cold
15,heat
16,cold
17,geographic
18,geographic
19,geographic
20,geographic
21,geographic
22,geographic
24,drought
25,biological
26,biological
27,heat
28,drought
29,biological
30,na
31,biological
32,cold
33,na
34,cold
35,biological
36,biological
37,na
38,na
39,na
40,biological
41,wet
42,drought
43,geographic
44,geographic
45,geographic
46,geographic
47,na
48,biological
49,na
50,na
51,na
52,drought
53,na
54,na
55,drought
56,geographic
57,na
58,biological
59,na
60,geographic
61,heat
62,na
63,na
66,cold
67,geographic
68,geographic
69,heat
70,na
200,na
201,na
202,na
203,trial
204,na
205,cold
206,na
207,heat
208,biological
900,na
901,na
