TreeCode,Code
Aa,POPUANG
Acb,POPUBAL
Act,POPUTRI
Ad,POPUDEL
Adc,
Add,
Af,
At,POPUTRE
Ax,POPULX
Ba,ABIEAMA
Bb,ABIEBAL
Bc,ABIECON
Bg,ABIEGRA
Bl,ABIELAS
Bla,ABIELAS?????????
Bm,ABIEMAG1
Bp,ABIEPRO
Cw,THUJPLI
Dr,ALNURUB
Dw,
Ea,BETUNEO
Ee,BETUPEN
Ep,BETUPAP
Es,BETUPUB
Ew,BETUOCC
Exp,BETUXWI
Ey,BETUALL
Fd,PSEUMEN
Fdc,PSEUMEN2
Fdi,PSEUMEN1
Gp,CORNNUT
Hm,TSUGMER
Hw,TSUGHET
Hxm,TSUGHEE
Jo,JUNIMON
Jr,JUNISCO
Js,JUNIMAR
Ju,JUNIOST
Jw,JUNIOCC
Kc,RHAMPUR
La,LARILYA
Ld,LARIGME
Ls,LARISIB
Lt,LARILAR
Lw,LARIOCC
Mb,ACERMAC
Me,ACERNEG
Mn,ACERPLA
Ms,ACERPSE
Mt,
Mv,ACERCIR
Oa,CALODEC
Ob,SEQUGIG
Oc,SEQUSEM
Od,SORBAUC
Oe,ULMUPUM
Of,PYRUCOM
Og,FRAXLAT
Oh,FRAXAME
Oi,CARYOVA
Oj,AILAALT
Ok,JUGLAIL
Ol,UMBECAL
Om,CERCLED
On,
Op,
Ot,LITHDEN
Oy,CHRYCHR
Oz,
Pa,PINUALB
Pb,PINUARI
Pc,
Pe,PINUEDU
Pf,PINUFLE
Pj,PINUBAN
Pl,PINUCON
Plc,PINUCON1
Pli,PINUCON2
Pm,PINURAD
Pn,PINUMON
Pr,PINURES
Ps,PINULAM
Pw,PINUMON
Pxj,PINUXMU
Py,PINUPON
Qa,QUERGAM
Qb,QUERKEL
Qc,QUERCHR
Qd,
Qe,QUERROB
Qg,QUERGAR
Ql,
Qm,
Qs,QUERSAD
Qv,QUERVAC
Qw,QUERALB
Qx,
Qz,
Ra,ARBUMEN
Sb,PICEMAR
Se,PICEENG
Sn,PICEABI
Sp,PICEPUN
Ss,PICESIT
Sw,PICEGLA
Sx,PICEENE
Sxs,PICEXLU
Tw,TAXUBRE
Ua,MALUPUM
Up,MALUFUS
Vb,PRUNEMA
Vp,PRUNPEN
Vs,PRUNAVI
Vv,PRUNVIR
Wa,SALIAMY
Wb,SALIBEB
Wd,SALIDIS
Wp,SALILAS
Ws,SALISCO
Wt,SALISIT
Yc,CHAMNOO
Yp,CHAMLAW
